website_id,page,clicks,impressions,ctr,position,visibility_label,visibility_score
1,/page4,5,52,0.09,9.92,1,95.0
4,/,2,4,0.559,1.25,0,0.0
5,/cabinet/about.html,1,2,0.503,2.42,0,0.0
5,/cabinet/appointments.html,1,42,0.016,31.58,0,0.0
5,/cabinet/faq.html,1,3,0.367,3.45,0,0.0
5,/cabinet/about.html,1,14,0.066,12.04,0,3.0
1,/page5,10,202,0.052,1.9,1,97.0
5,/cabinet/contact.html,0,4,0.0,49.13,0,1.0
1,/page2,2,26,0.057,12.09,0,1.0
6,/travel_agency,5,87,0.083,12.06,0,0.0
5,/cabinet/faq.html,1,2,0.348,4.74,0,10.0
5,/cabinet/blog.html,2,66,0.039,11.1,0,3.0
5,/cabinet/blog.html,7,72,0.081,15.17,0,0.0
1,/page2,0,22,0.005,78.85,0,0.0
1,/page2,0,16,0.014,34.25,0,0.0
5,/cabinet/about.html,1,2,0.575,3.81,0,0.0
6,/travel_agency,5,69,0.081,16.24,0,0.0
6,/travel_agency,2,65,0.064,19.28,0,0.0
1,/page4,4,56,0.046,14.56,0,0.0
5,/cabinet/faq.html,1,3,0.435,3.32,0,0.0
1,/page4,6,27,0.122,17.23,0,2.0
6,/travel_agency,3,75,0.067,8.62,1,100.0
5,/voyages,3,18,0.087,30.62,0,0.0
5,/cabinet/appointments.html,1,22,0.028,51.7,0,0.0
3,/,20,26,0.658,1.0,1,98.0
5,/cabinet/blog.html,0,3,0.0,2.82,0,0.0
5,/cabinet,1,1,0.699,1.03,0,0.0
1,/page5,14,169,0.078,2.97,1,100.0
1,/,11,46,0.193,1.32,1,99.0
1,/page5,17,215,0.086,3.03,1,98.0
5,/cabinet,1,3,0.465,1.0,0,0.0
5,/cabinet/appointments.html,1,34,0.019,56.72,0,2.0
5,/cabinet/appointments.html,1,39,0.016,57.24,0,1.0
6,/travel_agency,5,85,0.057,25.09,0,6.0
3,/,16,29,0.637,1.0,1,99.0
5,/cabinet/appointments.html,1,57,0.026,16.4,0,3.0
5,/cabinet/blog.html,0,2,0.0,4.28,0,0.0
1,/page3,1,66,0.035,17.91,1,57.0
1,/page5,4,68,0.049,19.67,0,0.0
5,/voyages,3,23,0.069,26.93,0,0.0
5,/cabinet/about.html,1,3,0.344,2.82,0,0.0
1,/page2,1,78,0.019,18.85,0,4.0
1,/page2,0,22,0.011,35.21,0,0.0
5,/cabinet/appointments.html,1,39,0.015,86.46,0,6.0
5,/cabinet/about.html,6,24,0.151,9.26,1,99.0
5,/cabinet/about.html,1,2,0.5,3.0,0,0.0
5,/voyages,3,20,0.079,29.7,0,1.0
1,/page5,14,198,0.07,2.95,1,99.0
3,/,15,32,0.588,1.0,1,99.0
5,/cabinet/appointments.html,1,43,0.016,57.86,0,0.0
1,/page2,0,18,0.011,41.39,0,0.0
1,/page4,2,51,0.047,13.56,0,0.0
1,/,11,29,0.266,1.29,0,36.0
1,/,1,49,0.036,19.18,0,3.0
5,/cabinet/about.html,1,2,0.463,4.12,0,0.0
4,/,2,2,0.647,1.37,0,0.0
1,/,8,34,0.192,1.0,1,98.0
5,/voyages,4,25,0.084,27.92,0,0.0
5,/cabinet/about.html,1,3,0.389,3.55,0,1.0
1,/page4,11,22,0.259,16.65,0,2.0
1,/page2,6,28,0.133,8.71,1,100.0
5,/cabinet/contact.html,0,3,0.0,49.77,0,0.0
1,/page2,0,22,0.007,74.58,0,0.0
1,/page2,4,26,0.109,15.72,0,1.0
5,/cabinet/appointments.html,4,36,0.066,11.0,0,0.0
1,/page4,9,24,0.197,19.17,0,1.0
4,/,4,54,0.05,16.05,0,0.0
3,/,14,25,0.508,1.0,1,100.0
1,/page4,6,47,0.101,19.35,0,0.0
4,/,3,3,0.778,1.0,0,1.0
6,/travel_agency,3,103,0.064,16.94,0,4.0
1,/page5,3,69,0.037,14.52,0,3.0
3,/,20,20,0.799,1.0,1,99.0
6,/travel_agency,5,74,0.099,13.6,0,0.0
5,/cabinet,1,3,0.393,1.14,0,16.0
1,/,1,26,0.069,13.11,0,1.0
1,/page4,6,27,0.122,24.71,0,0.0
1,/page2,0,18,0.013,51.46,0,0.0
5,/cabinet,3,59,0.049,13.92,0,0.0
5,/cabinet/about.html,1,2,0.484,3.15,0,0.0
1,/,5,78,0.046,11.05,0,3.0
5,/cabinet/faq.html,1,2,0.557,2.13,0,0.0
5,/cabinet/contact.html,0,3,0.0,87.19,0,0.0
5,/cabinet/blog.html,0,2,0.0,5.63,0,23.0
1,/page3,1,17,0.051,9.26,1,97.0
1,/page3,5,54,0.091,17.3,0,0.0
6,/travel_agency,7,74,0.078,14.01,0,1.0
5,/cabinet/blog.html,0,2,0.0,4.39,0,0.0
5,/cabinet/about.html,1,3,0.484,3.36,0,1.0
5,/cabinet,1,3,0.346,1.21,0,4.0
5,/cabinet/appointments.html,1,74,0.031,10.94,0,5.0
1,/page2,0,13,0.014,44.4,0,0.0
1,/page4,4,10,0.228,9.94,1,85.0
4,/,2,19,0.082,16.81,0,2.0
5,/cabinet/appointments.html,1,27,0.023,48.48,0,3.0
1,/page2,4,16,0.145,12.85,0,1.0
3,/,15,26,0.601,1.0,1,100.0
5,/voyages,4,28,0.076,19.92,0,0.0
5,/cabinet/appointments.html,1,27,0.023,39.71,0,1.0
3,/,4,47,0.077,15.28,0,0.0
5,/cabinet/about.html,1,2,0.446,2.68,0,2.0
1,/,13,31,0.254,1.33,1,94.0
1,/page4,6,25,0.134,18.2,0,0.0
1,/page3,3,39,0.04,73.97,1,68.0
1,/page3,1,68,0.051,17.35,0,2.0
5,/cabinet/faq.html,1,2,0.549,1.83,0,0.0
3,/,1,15,0.079,14.9,0,3.0
5,/cabinet/faq.html,6,63,0.078,10.48,1,69.0
5,/cabinet/appointments.html,1,21,0.028,49.96,0,1.0
5,/cabinet/faq.html,2,37,0.056,7.78,1,100.0
5,/cabinet/blog.html,0,3,0.0,3.77,0,0.0
5,/voyages,3,20,0.007,23.62,0,1.0
5,/cabinet/contact.html,0,3,0.0,38.11,0,0.0
5,/voyages,3,28,0.056,19.61,0,0.0
1,/page2,0,30,0.009,51.56,0,11.0
5,/cabinet/blog.html,5,70,0.059,10.85,0,0.0
5,/cabinet,1,2,0.573,1.0,0,0.0
6,/travel_agency,7,51,0.115,8.74,1,97.0
6,/travel_agency,2,10,0.117,11.61,0,12.0
1,/page4,5,37,0.092,24.71,0,0.0
6,/travel_agency,2,13,0.091,16.3,0,5.0
1,/page4,9,28,0.167,33.03,0,1.0
5,/cabinet/blog.html,4,34,0.099,9.08,0,40.0
5,/cabinet/appointments.html,1,17,0.044,15.58,0,3.0
5,/cabinet/appointments.html,1,10,0.073,9.14,1,95.0
5,/cabinet,2,17,0.103,16.99,0,0.0
1,/page4,6,19,0.169,17.82,0,1.0
1,/page5,8,138,0.062,1.91,1,99.0
1,/,11,45,0.176,1.0,1,100.0
1,/page4,3,11,0.176,7.42,1,97.0
5,/cabinet/appointments.html,1,29,0.02,46.43,0,1.0
5,/cabinet/blog.html,7,79,0.094,16.71,0,5.0
1,/,17,44,0.242,2.02,1,100.0
5,/cabinet/contact.html,3,20,0.09,23.61,0,0.0
1,/page3,3,23,0.066,46.08,0,7.0
5,/cabinet,1,3,0.386,1.29,0,7.0
5,/cabinet/blog.html,0,3,0.0,4.51,0,10.0
5,/cabinet,1,2,0.473,1.31,0,1.0
1,/page2,1,44,0.032,10.74,0,2.0
1,/page2,0,27,0.011,36.41,0,0.0
1,/page4,5,56,0.071,13.46,0,0.0
5,/cabinet/faq.html,5,34,0.114,13.73,0,5.0
5,/cabinet/contact.html,0,4,0.0,46.67,0,0.0
6,/travel_agency,6,118,0.069,14.64,0,0.0
4,/,4,35,0.07,17.88,0,8.0
6,/travel_agency,5,103,0.064,13.18,0,1.0
3,/,22,41,0.516,1.0,0,31.0
5,/cabinet/faq.html,1,2,0.479,3.41,0,0.0
3,/,11,23,0.516,1.04,1,98.0
1,/page3,1,31,0.017,61.09,0,1.0
5,/cabinet/faq.html,5,53,0.087,11.11,0,0.0
5,/cabinet/about.html,1,2,0.459,2.82,0,4.0
1,/page4,9,21,0.224,25.22,0,1.0
4,/,2,4,0.694,1.39,0,0.0
5,/voyages,3,20,0.079,17.21,1,53.0
1,/,7,20,0.193,16.25,0,0.0
3,/,22,35,0.594,1.22,1,79.0
4,/,2,3,0.732,1.05,0,0.0
5,/cabinet/blog.html,5,41,0.097,8.98,1,91.0
1,/page3,2,33,0.031,65.23,0,0.0
3,/,21,33,0.626,1.01,1,85.0
